"PKD";"NAZWA_PKD";"Data";"Liczba_jednostek_gospodarczych";"Liczba_rentownych_jednostek_gospodarczych";"Przychody_netto";"Zysk_netto";"Sprzedaz";"Koszty";"Odsetki";"Naklady_inwestycyjne";"Srodki_pieniezne_pap_wart";"Zobowiazania_dlugoterminowe";"Zobowiazania_krotkoterminowe";"Krotko_terminowe_kredyty_bankowe";"Dlugo_terminowe_kredyty_bankowe";"Zapasy";"Dynamika_liczba_jednostek_gospodarczych";"Dynamika_liczba_rentownych_jednostek_gospodarczych";"Dynamika_przychody_netto";"Dynamika_zysk_netto";"Dynamika_sprzedaz";"Dynamika_koszty";"Dynamika_odsetki";"Dynamika_naklady_inwestycyjne";"Dynamika_zobowiazania_krotkoterminowe";"Dynamika_zobowiazania_dlugoterminowe";"Dynamika_srodki_pieniezne_pap_wart";"Dynamika_krotko_terminowe_kredyty_bankowe";"Dynamika_dlugo_terminowe_kredyty_bankowe";"Dynamika_zapasy"
"1";"UPRAWY ROLNE, CHOW I HODOWLA ZWIERZAT, LOWIECTWO, WLACZAJAC DZIALALNOSC USLUGOWA";"2022";753;661;26600,69;3007,53;2549,74;25906,33;259,28;1185,93;2143,47;3115,11;5455,34;1549,09;2582,96;6862,25;-3,46153846153846;-2,36336779911374;20,4530820246098;115,777616748337;312,2990847644;15,3409116205846;89,6014625228519;17,2899091097902;-0,335786266012883;-4,1135821469796;7,25662388350972;0,990286198578771;-3,88485353655632;36,4145084724199
"1";"UPRAWY ROLNE, CHOW I HODOWLA ZWIERZAT, LOWIECTWO, WLACZAJAC DZIALALNOSC USLUGOWA";"2023";733;603;30252,39;2764,13;2093,64;29145,78;296,92;1312,81;2856,71;2928,87;5305,31;1452,51;2319,69;6227,05;-2,65604249667994;-8,77458396369137;13,7278393906324;-8,09301985350105;-17,8880983943461;12,5044728450537;14,5171243443382;10,698776487651;-2,7501493949048;-5,97860107668751;33,2750166785633;-6,23462807196483;-10,1925697649209;-9,25643921454333
"1";"UPRAWY ROLNE, CHOW I HODOWLA ZWIERZAT, LOWIECTWO, WLACZAJAC DZIALALNOSC USLUGOWA";"2024";732;594;29762,5;3131,09;2108,81;28529,98;250,62;1659,75;3522,23;3080,55;5030,12;1189,1;2490,34;5931,71;-0,136425648021832;-1,49253731343284;-1,61934313288966;13,2757865946971;0,724575380676717;-2,11282731153533;-15,5934258386097;26,4272819372186;-5,18706729672726;5,17878908930749;23,2967294545124;-18,1348149066099;7,35658644042954;-4,74285576637413
"2";"LESNICTWO I POZYSKIWANIE DREWNA";"2022";491;479;15075,95;1098,31;897,73;15236,31;9,24;24,95;4775,92;54,6;2917,55;22,39;42,16;401;0,204081632653064;7,88288288288288;48,4142578967161;44,5677354814932;82,3468475788105;41,4827904488988;-18,2300884955752;27,6214833759591;71,0029657589647;-13,2093466857415;56,0906098944018;11,5595416043847;-17,3171210041185;37,5218628896739
"2";"LESNICTWO I POZYSKIWANIE DREWNA";"2023";498;475;14306,42;766,27;737,39;15830,19;6,59;30,71;4471,9;56,72;2307,14;28,47;39,55;559,15;1,42566191446027;-0,835073068893533;-5,10435494943934;-30,2319017399459;-17,8606039677854;3,897794150946;-28,6796536796537;23,0861723446894;-20,9220064780381;3,88278388278387;-6,36568451732861;27,1549799017419;-6,19070208728653;39,4389027431421
"2";"LESNICTWO I POZYSKIWANIE DREWNA";"2024";508;451;12970,56;778,73;250,23;14766,11;6,25;61,89;3503,61;71,12;2269,67;32,84;38,34;494,87;2,00803212851406;-5,05263157894736;-9,33748624743298;1,62605869993606;-66,0654470497295;-6,72183972523387;-5,15933232169954;101,530446108759;-1,62408869856184;25,3878702397743;-21,652765043941;15,3494906919565;-3,05941845764853;-11,4960207457748
"3";"RYBACTWO";"2022";28;23;272,79;37,98;22,61;264,12;3,55;16,43;135,31;53,52;52,38;12,54;47,46;46,99;-12,5;-11,5384615384615;3,92000000000001;13,9855942376951;81,3151563753007;0,48698828184448;46,0905349794239;-63,8503850385039;-18,4620174346202;-29,901768172888;8,09234702029078;22,3414634146341;-19,6410430071114;5,21719659650695
"3";"RYBACTWO";"2023";26;23;331,97;67,46;23,5;319,83;1,64;21,38;163,93;47,59;64,12;6,08;43,08;49,11;-7,14285714285714;0;21,6943436342975;77,6197998946814;3,93631136665193;21,0926851431168;-53,8028169014084;30,1278149726111;22,4131347842688;-11,0799701046338;21,1514300495159;-51,5151515151515;-9,22882427307207;4,5115982123856
"3";"RYBACTWO";"2024";29;23;347,28;39,7;3,78;352,55;2,32;49,39;159,27;22,05;87,52;10,89;15,04;50,02;11,5384615384615;0;4,61186251769736;-41,1503112955826;-83,9148936170213;10,2304349185505;41,4634146341463;131,010289990645;36,4940736119775;-53,6667367093927;-2,84267675227231;79,1118421052632;-65,0882079851439;1,85298309916515
"5";"WYDOBYWANIE WEGLA KAMIENNEGO I WEGLA BRUNATNEGO (LIGNITU)";"2022";14;12;46093,36;9922,89;11667,02;39607,05;800,08;3878,94;5530,72;2818,41;12961,34;1365,87;1897,44;1409,27;0;50;68,7392738114065;-3384,96375012414;29429,2837256391;29,1380396422339;29,1076327255123;33,9029214693303;-19,6486479616982;-34,7605379505104;187,595484350706;-68,2910352128371;-43,3642265502574;18,5725223595534
"5";"WYDOBYWANIE WEGLA KAMIENNEGO I WEGLA BRUNATNEGO (LIGNITU)";"2023";14;10;45983,59;4846,75;7723,55;46862,93;496,93;6884,87;4646,51;4413,14;10979,6;486;2467,64;2254,31;0;-16,6666666666667;-0,238147099712416;-51,1558628585019;-33,8001477669533;18,3196678369129;-37,8899610038996;77,4935936106256;-15,2896228322072;56,5826121820459;-15,9872493997165;-64,4182828526873;30,0510161059111;59,9629595464318
"5";"WYDOBYWANIE WEGLA KAMIENNEGO I WEGLA BRUNATNEGO (LIGNITU)";"2024";14;6;32268,04;-12456,59;-6630,47;54658,9;493,06;6835,78;2896,72;5684,82;9183,32;198,82;3380,33;2109,73;0;-40;-29,8270535206146;-357,009129829267;-185,847440619922;16,6356862449702;-0,778781719759325;-0,71301273662393;-16,3601588400306;28,8157638325546;-37,6581563366914;-59,0905349794239;36,9863513316367;-6,41349237682484
"6";"GORNICTWO ROPY NAFTOWEJ I GAZU ZIEMNEGO";"2022";2;0;0;0;0;0;0;0;0;0;0;0;0;0;-33,3333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0
"6";"GORNICTWO ROPY NAFTOWEJ I GAZU ZIEMNEGO";"2023";3;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0
"6";"GORNICTWO ROPY NAFTOWEJ I GAZU ZIEMNEGO";"2024";2;0;0;0;0;0;0;0;0;0;0;0;0;0;-33,3333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0
"7";"GORNICTWO RUD METALI";"2022";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"7";"GORNICTWO RUD METALI";"2023";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"7";"GORNICTWO RUD METALI";"2024";3;0;0;0;0;0;0;0;0;0;0;0;0;0;200;0;0;0;0;0;0;0;0;0;0;0;0;0
"8";"POZOSTALE GORNICTWO I WYDOBYWANIE";"2022";188;159;10002,3;1049,52;1193,11;9248,08;89,39;845,97;1394,43;913,49;2133,51;302,72;440,71;855,45;-0,529100529100535;-0,624999999999998;28,9102372433987;40,4942304088244;45,7144601856375;29,8562999699513;145,982388552559;39,7974022540239;24,1286020979875;1,39073876753684;15,5486870126534;7,91772129335855;-11,6831326025531;35,2703984819734
"8";"POZOSTALE GORNICTWO I WYDOBYWANIE";"2023";185;161;10950,4;1238,27;1373,48;10012,5;114,19;1017,49;1594,63;884,97;2206,47;305,01;474,32;877,73;-1,59574468085106;1,25786163522013;9,47881987142958;17,9844119216404;15,1176337470979;8,26571569450092;27,7435954804788;20,2749506483682;3,4197168047021;-3,12209219586421;14,3571208307337;0,756474630021131;7,62633023984025;2,60447717575545
"8";"POZOSTALE GORNICTWO I WYDOBYWANIE";"2024";195;165;11884,35;1582,11;1692,83;10812,77;116,45;964,1;1955,09;1143,13;2509,69;334,35;641,21;894,6;5,40540540540539;2,48447204968945;8,52891218585623;27,7677727797653;23,2511576433585;7,99270911360799;1,97915754444347;-5,24722601696331;13,742312381315;29,1716103370736;22,6046167449502;9,61935674240191;35,1851071006915;1,92200334954942
"9";"DZIALALNOSC USLUGOWA WSPOMAGAJACA GORNICTWO I WYDOBYWANIE";"2022";59;36;2579,78;-1061,31;-29,95;5404,03;55,1;193,44;1116,78;472,47;1472,64;400,69;381,58;156,78;-4,83870967741935;5,88235294117647;21,7813696379764;465,157889131477;57,7976817702845;26,0597450826708;101,315308732189;-16,3936551843368;33,7207612959465;-12,2455423476969;-46,4271323035594;78,1715505358175;-19,0521648740958;7,70076251974996
"9";"DZIALALNOSC USLUGOWA WSPOMAGAJACA GORNICTWO I WYDOBYWANIE";"2023";72;58;3574,44;171,74;224,15;6247,3;68,56;190,82;1609,52;307,19;1610,92;483,42;190,09;145,19;22,0338983050848;61,1111111111111;38,5560008993015;-116,181888420914;-848,414023372287;15,6044655562608;24,4283121597096;-1,35442514474773;9,38993915688831;-34,9821152665778;44,1214921470657;20,6468841248846;-50,1834477697993;-7,39252455670366
"9";"DZIALALNOSC USLUGOWA WSPOMAGAJACA GORNICTWO I WYDOBYWANIE";"2024";64;52;3835,55;-178,49;301,29;6095,97;62,72;187,64;1340,99;246,66;1308,58;376,48;141,53;131,01;-11,1111111111111;-10,3448275862069;7,30492049104197;-203,930359846279;34,4144546062904;-2,42232644502425;-8,51808634772463;-1,66649198197254;-18,7681573262484;-19,7044174615059;-16,683856056464;-22,1215506185098;-25,5457940975327;-9,76651284523729
"10";"PRODUKCJA ARTYKULOW SPOZYWCZYCH";"2022";1950;1675;351410,85;14081,57;17086,99;355417,19;1949,38;11416,4;10954,36;17585,39;66341,52;16230,64;14330,77;38715,66;2,20125786163523;2,19646125686395;39,0713203701811;40,6656097943494;51,9105516862464;39,8575371578467;169,165872719992;19,0052526844564;28,1493467797564;12,6673475036263;2,61022696403983;6,11410183152388;19,1778748558175;46,8840176675148
"10";"PRODUKCJA ARTYKULOW SPOZYWCZYCH";"2023";1995;1679;365743,3;17654,6;22059,66;356754,69;2535,55;11901,95;15371,66;18899,81;61779,47;14318,48;15251,67;36751,78;2,3076923076923;0,238805970149247;4,07854509899168;25,3738041993897;29,1020829297612;0,376318320450397;30,0695605782351;4,25309204302584;-6,87661361994721;7,47450013903588;40,3245830883776;-11,7811743714358;6,42603293472717;-5,07257270055581
"10";"PRODUKCJA ARTYKULOW SPOZYWCZYCH";"2024";2003;1702;373494,55;16803,56;20162,76;364524,26;2570,64;13187,16;17907,21;20446,39;65599,96;14247,97;16598,8;38415,74;0,401002506265669;1,36986301369864;2,11931428408942;-4,82050003964971;-8,59895392766708;2,17784663181302;1,38392064838002;10,7983145618995;6,18407700810641;8,18304522638058;16,4949654103721;-0,492440538381167;8,83267209426901;4,52756301871637
"11";"PRODUKCJA NAPOJOW";"2022";115;87;42744,26;2010,48;2554,61;41223,3;391,66;1358,28;930,27;3871,22;10758,12;1394,78;2679,78;3594,53;-0,862068965517238;-6,45161290322581;14,3797457244327;611,674336283186;-12,6990202343646;9,79838879368344;19,1288742890167;10,8555665281938;-11,4066568615018;85,144338377365;-26,7302012365613;-48,6037924960756;92,1457559548564;19,6533427426335
"11";"PRODUKCJA NAPOJOW";"2023";110;91;45495,31;3133,65;3765,42;43141,07;417,31;1544,34;1313,46;3006,32;9772,44;989,83;2565,72;3298,19;-4,34782608695652;4,59770114942528;6,43606884292767;55,8657633997851;47,3970586508312;4,65215060414861;6,54904764336413;13,6982065553494;-9,16219562525795;-22,3417940597538;41,1912670515012;-29,0332525559586;-4,25631954861968;-8,24419326031498
