"NAZWA_PKD";"Dynamika_liczba_jednostek_gospodarczych";"Dynamika_liczba_rentownych_jednostek_gospodarczych";"Dynamika_przychody_netto";"Dynamika_zysk_netto";"Dynamika_sprzedaz";"Dynamika_koszty";"Dynamika_odsetki";"Dynamika_naklady_inwestycyjne";"Dynamika_zobowiazania_krotkoterminowe";"Dynamika_zobowiazania_dlugoterminowe";"Dynamika_srodki_pieniezne_pap_wart";"Dynamika_krotko_terminowe_kredyty_bankowe";"Dynamika_dlugo_terminowe_kredyty_bankowe";"Dynamika_zapasy";"Dynamika_rentownosc_sprzedazy";"Punktacja_liczba_jednostek_gospodarczych";"Punktacja_liczba_rentownych_jednostek_gospodarczych";"Punktacja_przychody_netto";"Punktacja_zysk_netto";"Punktacja_sprzedaz";"Punktacja_koszty";"Punktacja_odsetki";"Punktacja_naklady_inwestycyjne";"Punktacja_zobowiazania_krotkoterminowe";"Punktacja_zobowiazania_dlugoterminowe";"Punktacja_srodki_pieniezne_pap_wart";"Punktacja_krotko_terminowe_kredyty_bankowe";"Punktacja_dlugo_terminowe_kredyty_bankowe";"Punktacja_zapasy";"Punktacja_rentownosc_sprzedazy";"suma_punktacji"
"ADMINISTRACJA PUBLICZNA I OBRONA NARODOWA, OBOWIAZKOWE ZABEZPIECZENIA SPOLECZNE";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;4
"BADANIA NAUKOWE I PRACE ROZWOJOWE";1,57676991477057;-0,99412229107481;19,0325902490621;201,148641103735;42,4369426802705;19,2050423768763;51,8465389212499;-0,59037832289961;24,6236927377946;10,7837017333386;8,19212281901303;33,924766229225;10,9533547618228;9,85054788402181;227,537868968387;1;-1;2;2;2;-2;-1;-1;-2;-1;1;-2;-1;-1;2;-2
"DZIALALNOSC BIBLIOTEK, ARCHIWOW, MUZEOW ORAZ POZOSTALA DZIALALNOSC ZWIAZANA Z KULTURA";0,974658869395713;6,94444444444444;17,8001797027785;28,2227022674426;-15,7834236175651;13,1653569182023;182,745009235578;5,66878295652578;24,5826220148251;-6,18063429702029;10,9016757678486;73,4834369020844;-6,45562682301506;-6,43630523330965;61,5242582927348;1;2;2;2;-1;-2;-2;1;-2;0,5;2;-2;0,5;0,5;2;4,5
"DZIALALNOSC DETEKTYWISTYCZNA I OCHRONIARSKA";0,410328235953661;1,1285372009047;11,7690493174534;11,2974172194059;-8,88642996740611;11,0628401212552;40,0272611763976;14,2903090871976;13,2308265307455;6,7209997908613;2,37819196995606;6,19505701530889;-0,505246543284055;24,0020328932438;27,9394770946572;1;2;2;2;-1;-2;-1;2;-2;-1;1;-1;0,5;-1;2;3,5
"DZIALALNOSC FIRM CENTRALNYCH (HEAD OFFICES), DORADZTWO ZWIAZANE Z ZARZADZANIEM";4,97861132795042;5,67563643218004;15,4929728739408;11,5465461246161;2,38023923155731;17,1737401053605;45,2472105422585;69,4769318340111;54,8899227746378;-23,3502588335724;18,7215184064848;17,1821363499733;9,57665978488997;51,0845280714077;10,2903764210498;2;2;2;2;1;-2;-1;2;-2;0,5;2;-2;-1;-1;2;6,5
"DZIALALNOSC ORGANIZACJI CZLONKOWSKICH";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;4
"DZIALALNOSC ORGANIZATOROW TURYSTYKI, POSREDNIKOW I AGENTOW TURYSTYCZNYCH ORAZ POZOSTALA DZIALALNOSC USLUGOWA W ZAKRESIE REZERWACJI I DZIALALNOSCI Z NIA ZWIAZANE";10,9402852049911;15,9341377576672;57,4764631752215;92,5879476139115;205,486598973181;55,0968556456221;51,3113347883497;-0,571460693411462;37,4588553899016;-10,9541549726595;30,572136447453;35,708785469172;-12,9071942044451;84,2661362728753;-35,0295727632269;2;2;2;2;2;-2;-1;-1;-2;0,5;2;-2;0,5;-1;-1;3
"DZIALALNOSC POCZTOWA I KURIERSKA";8,7816091954023;10,948717948718;11,4249259822482;39,0029317130144;7,51515417084361;12,2575926231657;29,9282191160847;17,7846210290123;10,5687485547475;15,6422780328584;7,19516695246134;258,216740648996;147,537146673103;11,1990287069114;22,1065943799783;2;2;2;2;2;-2;-1;2;-2;-1;1;-2;-1;-1;2;5
"DZIALALNOSC PRAWNICZA, RACHUNKOWO-KSIEGOWA I DORADZTWO PODATKOWE";7,24559610005873;9,04543070694723;17,8567410353736;27,1043720295749;11,3086074868172;18,1261867784804;70,4327868720776;29,9059006853083;15,7945853570923;15,1991695733955;13,2013691238355;5,90077680474337;15,4014517416842;57,7393268533376;13,4163480496771;2;2;2;2;2;-2;-2;2;-2;-1;2;-1;-1;-1;2;6
"DZIALALNOSC SPORTOWA, ROZRYWKOWA I REKREACYJNA";2,53284874102064;14,777820794081;46,9160351729922;-274,286316725537;168,612360564591;34,4079610101666;42,3117409299207;15,7576130264514;21,4532199314726;9,56268555265459;21,4423986257247;1,08220149513926;-1,12582987253517;30,8572932483862;-358,19552393162;2;2;2;-1;2;-2;-1;2;-2;-1;2;-1;0,5;-1;-1;2,5
"DZIALALNOSC TWORCZA ZWIAZANA Z KULTURA I ROZRYWKA";10,4700854700855;13,9009139009139;110,13995178977;58,6149421223579;-847,68407654864;99,1359314407073;73,7010557363871;5,70409982174687;54,2148365449661;-21,6246514746517;67,0580620636002;114,843810397809;186,034954827114;-0,652854993519507;-26,5368077707063;2;2;2;2;-1;-2;-2;1;-2;0,5;2;-2;-1;0,5;-1;1
"DZIALALNOSC USLUGOWA W ZAKRESIE INFORMACJI";0,723893372462706;1,48643963628914;23,8267719013068;-101,566621433725;18,2790958803146;27,3517114722838;99,9549642974782;14,3657713759771;19,7794807053417;22,8046922946021;19,0558214979498;27,4273553565845;26,6010487455027;40,501914712836;-102,473042290537;1;2;2;-1;2;-2;-2;2;-2;-1;2;-2;-1;-1;-1;-2
"DZIALALNOSC USLUGOWA WSPOMAGAJACA GORNICTWO I WYDOBYWANIE";2,02802583885143;18,8828788220269;22,5474303427733;48,3485469547612;-252,067295665237;13,0806280646358;39,0751781813912;-6,47152410368568;8,1141810421955;-22,3106916919268;-6,32983207098594;25,5656280140641;-31,5938022471426;-3,15275829406366;-5,66839445991434;1;2;2;2;-1;-2;-1;-1;-2;0,5;-1;-2;0,5;0,5;2;0,5
"DZIALALNOSC USLUGOWA ZWIAZANA Z UTRZYMANIEM PORZADKU W BUDYNKACH I ZAGOSPODAROWANIEM TERENOW ZIELENI";4,19576358783758;3,63106768820278;15,4088805217145;15,5409597566943;-7047,13550346553;14,3619391763849;44,3057721827817;6,66120890599761;14,3949438731114;5,51062075135971;9,66834772162903;8,77876718926697;4,79872423965736;10,3334431346345;-466,564977413144;2;2;2;2;-1;-2;-1;1;-2;-1;1;-1;-0,5;-1;-1;-0,5
"DZIALALNOSC USLUGOWA ZWIAZANA Z WYZYWIENIEM";13,2671498080303;16,5800132380965;23,6120980854744;38,1348991610072;61,0047188774681;21,4653166264784;39,1952592660579;16,9053522513153;8,27545720809612;-0,725939998934659;13,091485399631;-11,6630785352285;-0,637102018407124;14,4462336869044;-9,3129675448367;2;2;2;2;2;-2;-1;2;-2;0,5;2;1;0,5;-1;-1;9
"DZIALALNOSC W ZAKRESIE ARCHITEKTURY I INZYNIERII, BADANIA I ANALIZY TECHNICZNE";2,33742389357017;-0,383923294920452;15,8624633921308;3,38539805078533;18,8023706146643;16,5868080573126;47,8013033504335;12,894543637557;20,6560946283607;6,82105128775371;10,1214883275284;12,3861910288721;9,67674880577415;14,2092339555585;-13,067675226142;1;-1;2;2;2;-2;-1;2;-2;-1;2;-2;-1;-1;-1;-1
"DZIALALNOSC WETERYNARYJNA";15,8856682769726;14,9707602339181;31,0219961158715;-20,4450493338558;24,8034574960764;37,878185431425;378,298340789682;153,469779417066;93,3840204071695;295,71079009318;55,5512849253533;327,735186501285;378,524267360229;8,79919904585194;-32,8652682668958;2;2;2;-1;2;-2;-2;2;-2;-1;2;-2;-1;-1;-1;-1
"DZIALALNOSC WSPOMAGAJACA USLUGI FINANSOWE ORAZ UBEZPIECZENIA I FUNDUSZE EMERYTALNE";4,91478997927477;5,85043091368911;12,7347708157418;5,68728728061449;12,3151781375127;13,3310016794594;54,9643984558319;6,02672216519286;12,4099710257091;34,0203586998056;21,8925892480895;27,7267585389885;24,2466666792742;8,61606594664784;-4,94261505464664;2;2;2;2;2;-2;-1;1;-2;-1;2;-2;-1;-1;2;5
"DZIALALNOSC WYDAWNICZA";-1,95953365534294;-1,73608834094768;11,8354975471878;4,38040943186035;4,1299130572449;13,1575865196214;46,5169129263693;22,641596904282;5,02711762432408;17,2374285363844;6,34588380049115;12,7240638019545;18,7308471605338;6,94925619063002;-0,968528175672529;-1;-1;2;2;1;-2;-1;2;-1;-1;1;-2;-1;-0,5;2;-0,5
"DZIALALNOSC ZWIAZANA Z ADMINISTRACYJNA OBSLUGA BIURA I POZOSTALA DZIALALNOSC WSPOMAGAJACA PROWADZENIE DZIALALNOSCI GOSPODARCZEJ";6,05385149688947;7,23056915354097;15,2346474427917;39,5327174242358;31,3951437321574;14,1460589378211;57,7783743326697;1,31270837554801;6,34492794652278;34,1668170548798;14,6378446699767;11,5673906395571;18,8777770104848;5,63445110117929;4,2065010876945;2;2;2;2;2;-2;-2;1;-1;-1;2;-2;-1;-0,5;2;5,5
"DZIALALNOSC ZWIAZANA Z GRAMI LOSOWYMI I ZAKLADAMI WZAJEMNYMI";0,303030303030305;9,3939393939394;23,2707177447224;16,9902759621259;11,3481759972626;23,4005747229155;28,5828080975907;26,7985668537366;3,80640021318413;8,85520347091417;2,68166332061267;-0,67685313001915;13,1437654977014;15,3520849284041;7,77096611158622;1;2;2;2;2;-2;-1;2;-1;-1;1;1;-1;-1;2;8
"DZIALALNOSC ZWIAZANA Z OBSLUGA RYNKU NIERUCHOMOSCI";0,115625907941656;0,37506689211599;12,1638252130753;0,887514415748788;9,67971595355734;12,7775628159458;38,7107785877224;3,96070024825602;13,3642172601303;1,97412411015125;9,01628929871275;54,1132906120391;0,445620286921474;-2,09779291927623;-7,74445014826753;1;2;2;2;2;-2;-1;1;-2;-0,5;1;-2;-0,5;0,5;2;5,5
"DZIALALNOSC ZWIAZANA Z OPROGRAMOWANIEM I DORADZTWEM W ZAKRESIE INFORMATYKI ORAZ DZIALALNOSC POWIAZANA";7,10706438155079;6,22445210968542;19,005415678298;13,6644578029331;16,0426831452362;19,8454556708473;58,6058573305347;-2,52499733493893;18,6653293968827;22,1957352500978;16,2548869175918;15,5933526562517;20,6528527971054;17,1141373233005;-1,57811838751966;2;2;2;2;2;-2;-2;-1;-2;-1;2;-2;-1;-1;2;2
"DZIALALNOSC ZWIAZANA Z PRODUKCJA FILMOW, NAGRAN WIDEO, PROGRAMOW TELEWIZYJNYCH, NAGRAN DZWIEKOWYCH I MUZYCZNYCH";2,35068603712671;-0,052954292084732;20,4514503771251;113,691839481617;94,4451296344737;17,6243539761835;10,7417702133298;-8,53284928165598;14,9248275341269;-11,6825771684414;14,7405327885509;7,30484463231268;-8,72542955773224;7,4895935230755;18,1706182414642;1;-1;2;2;2;-2;-1;-1;-2;0,5;2;-1;0,5;-0,5;2;3,5
"DZIALALNOSC ZWIAZANA Z REKULTYWACJA I POZOSTALA DZIALALNOSC USLUGOWA ZWIAZANA Z GOSPODARKA ODPADAMI";8,32891246684351;-1,10144927536232;1,09991378590423;2,87623827438398;1,60665102621586;2,42658986442598;15,7957291828414;21,99041872676;-2,19886581480531;21,1602516905209;22,1072986647236;-10,5153895607144;28,4247200459107;-7,3997935611158;2,17231835209449;2;-1;1;2;1;-1;-1;2;1;-1;2;1;-1;0,5;2;9,5
