typ,symbol,nazwa
DZIAŁ,01,"UPRAWY ROLNE, CHÓW I HODOWLA ZWIERZĄT, ŁOWIECTWO, W TYM DZIAŁALNOŚĆ USŁUGOWA"
DZIAŁ,02,LEŚNICTWO I POZYSKIWANIE DREWNA
DZIAŁ,03,RYBACTWO
DZIAŁ,05,WYDOBYWANIE WĘGLA KAMIENNEGO I WĘGLA BRUNATNEGO (LIGNITU)
DZIAŁ,06,GÓRNICTWO ROPY NAFTOWEJ I GAZU ZIEMNEGO
DZIAŁ,07,GÓRNICTWO RUD METALI
DZIAŁ,08,POZOSTAŁE GÓRNICTWO I WYDOBYWANIE
DZIAŁ,09,DZIAŁALNOŚĆ USŁUGOWA WSPOMAGAJĄCA GÓRNICTWO I WYDOBYWANIE
DZIAŁ,10,PRODUKCJA ARTYKUŁÓW SPOŻYWCZYCH
DZIAŁ,11,PRODUKCJA NAPOJÓW
DZIAŁ,12,PRODUKCJA WYROBÓW TYTONIOWYCH
DZIAŁ,13,PRODUKCJA WYROBÓW TEKSTYLNYCH
DZIAŁ,14,PRODUKCJA ODZIEŻY
DZIAŁ,15,"PRODUKCJA SKÓR I WYROBÓW ZE SKÓR WYPRAWIONYCH, PRODUKCJA PODOBNYCH WYROBÓW Z INNYCH MATERIAŁÓW"
DZIAŁ,16,"PRODUKCJA WYROBÓW Z DREWNA I KORKA, Z WYŁĄCZENIEM MEBLI; PRODUKCJA WYROBÓW ZE SŁOMY I MATERIAŁÓW UŻYWANYCH DO WYPLATANIA"
DZIAŁ,17,PRODUKCJA PAPIERU I WYROBÓW Z PAPIERU
DZIAŁ,18,POLIGRAFIA I REPRODUKCJA ZAPISANYCH NOŚNIKÓW INFORMACJI
DZIAŁ,19,WYTWARZANIE I PRZETWARZANIE KOKSU I PRODUKTÓW RAFINACJI ROPY NAFTOWEJ
DZIAŁ,20,PRODUKCJA CHEMIKALIÓW I WYROBÓW CHEMICZNYCH
DZIAŁ,21,PRODUKCJA PODSTAWOWYCH SUBSTANCJI FARMACEUTYCZNYCH ORAZ LEKÓW I POZOSTAŁYCH WYROBÓW FARMACEUTYCZNYCH
DZIAŁ,22,PRODUKCJA WYROBÓW Z GUMY I TWORZYW SZTUCZNYCH
DZIAŁ,23,PRODUKCJA WYROBÓW Z POZOSTAŁYCH MINERALNYCH SUROWCÓW NIEMETALICZNYCH
DZIAŁ,24,PRODUKCJA METALI
DZIAŁ,25,"PRODUKCJA METALOWYCH WYROBÓW GOTOWYCH, Z WYŁĄCZENIEM MASZYN I URZĄDZEŃ"
